"TotalComp" "WideIndustry" "Company" "CEO" "CityofBirth" "StateofBirth" "Age" "Undergrad" "UGDegree" "UGDate" "AgeOfUnder" "Graduate" "GradDegree" "MBA" "MasterPhd" "G_date" "AgeOfGradu" "YearsFirm" "YearsCEO" "Salary" "Bonus" "other" "St_gains" "Compfor5yrs" "Stockowned" "Sales" "Profits" "Returnover5yrs" "Industry" "IndustryCode" "Log10TC1"
"200" 2378680 "Consumer" "Colgate-Palmolive" "Mr. ReubenMark" "Jersey City" "NJ" 55 "Middlebury C" "BA" 60 21 "Harvard" "MBA" 1 1 63 24 31 10 900833 1264000 93949 119898 32532100 0.330000013113022 7141 548.099975585938 22 "Consumer nondurables-personal products" 18 6.37633609771729
"201" 1064740 "Consumer" "Kimberly-Clark" "Mr. Wayne R Sanders" "Chicago" "IL" 46 "Illinois Tech" "BSC" 69 21 "Marquette U" "MBA" 1 1 72 24 19 2 677500 380160 7075 NA 3970150 0.0240000002086163 6973 510.899993896484 15 "Consumer nondurables-personal products" 18 6.02724409103394
"202" 947628 "Consumer" "James River Corp of" "Mr. Robert C Williams" "Cincinnati" "OH" 64 "U of Cincinnati" "BSM" 53 23 "Xavier U" "MBA" 1 1 57 27 35 4 824615 NA 123013 NA 4994040 0.671000003814697 4650 -0.300000011920929 -6 "Consumer nondurables-personal products" 18 5.976637840271
"203" 1130950 "Consumer" "Clorox" "Mr. G CraigSullivan" "Huntington" "NY" 54 "Boston C" "BS" 64 24 "" "none" 0 0 NA NA 23 2 457500 351000 104816 217631 NA 0.0140000004321337 1644 204.199996948242 14 "Consumer nondurables-personal products" 18 6.05344295501709
"204" 958356 "Consumer" "Avon Products" "Mr. James E Preston" "Cleveland" "OH" 61 "Northwestern U" "BS" 55 22 "" "none" 0 0 NA NA 30 5 610000 311478 36878 NA 14117700 0.209999993443489 4008 239.600006103516 25 "Consumer nondurables-personal products" 18 5.98152685165405
"205" 14176500 "Consumer" "Duracell Internation" "Mr. C RobertKidder" "Freeport" "NY" 49 "U of Michigan" "BS" 66 21 "Iowa State" "MS" 0 1 68 23 17 10 610486 410000 22197 13133900 16388600 0.120999999344349 1788 132.199996948242 23 "Consumer nondurables-personal products" 18 7.15156888961792
"206" 3618090 "Consumer" "Service Corp Interna" "Mr. Robert L Waltrip" "Austin" "TX" 63 "U of Houston" "BBA" 54 23 "" "none" 0 0 NA NA 32 32 717500 882000 2018590 NA 17974300 0.745999991893768 899 103.099998474121 19 "Consumer nondurables-personal products" 18 6.55847883224487
"207" 8378200 "Consumer" "ProcterGamble" "Mr. Edwin L Artzt" "New York" "NY" 64 "U of Oregon" "BS" 51 21 "" "none" 0 0 NA NA 40 4 1137500 625000 301200 6314500 18542200 0.0509999990463257 30067 571 21 "Consumer nondurables-personal products" 18 6.92315101623535
"208" NA "Consumer" "Scott Paper" "Mr. Albert J Dunlap" "Hoboken" "NJ" 56 "US Military Aca" "BS" 60 22 "" "none" 0 0 NA NA 1 1 NA NA NA NA NA 9.99999974737875e-06 4749 -289.100006103516 3 "Consumer nondurables-personal products" 18 NA
"209" 3414220 "Consumer" "Gillette" "Mr. Alfred M Zeien" "New York" "NY" 64 "Webb Institute" "BS" 52 22 "" "none" 0 0 NA NA 26 3 908333 675000 157273 1673620 14248200 0.137999996542931 5411 426.899993896484 31 "Consumer nondurables-personal products" 18 6.53329181671143
"210" 5685500 "Consumer" "Dial" "Mr. John W Teets" "Elgin" "IL" 60 "" "" NA NA "" "none" 0 0 NA NA 30 13 1150330 1173300 3361870 NA 20386900 0.541000008583069 3000 142.399993896484 17 "Consumer nondurables-personal products" 18 6.75476884841919
"211" 7154000 "Consumer" "Eastman Kodak" "Mr. George M C Fisher" "Anna" "IL" 53 "U of Illinois" "BS" 62 21 "Brown" "MS" 0 1 64 23 1 1 2000000 154000 5000000 NA NA 0.0379999987781048 16364 475 9 "Consumer nondurables-photographytoys" 18 6.85454893112183
"212" 595033 "Consumer" "Polaroid" "Mr. I MacAllisterBooth" "Atlanta" "GA" 62 "Cornell" "BME" 55 23 "Cornell" "MBA" 1 1 58 26 36 8 525507 NA 69526 NA 3428480 0.0230000000447035 2245 67.9000015258789 -1 "Consumer nondurables-photographytoys" 18 5.77454090118408
"213" 4380070 "Consumer" "Hasbro" "Mr. Alan G Hassenfeld" "Providence" "RI" 45 "U of Pennsylvan" "BA" 70 21 "" "none" 0 0 NA NA 24 5 872807 600000 98282 2808980 12453800 3.66700005531311 2747 200 25 "Consumer nondurables-photographytoys" 18 6.64148092269897
"214" 2840250 "Consumer" "Mattel" "Mr. John W Amerman" "Newark" "NJ" 62 "Dartmouth" "BA" 53 21 "Dartmouth" "MBA" 1 1 54 22 14 7 828759 825000 1006050 180436 19772300 0.28099998831749 2704 135.899993896484 39 "Consumer nondurables-photographytoys" 18 6.45335721969604
"215" 4154620 "Consumer" "Unifi" "Mr. William T Kretzer" "Pittsburgh" "PA" 47 "NC State U" "BA" 68 21 "" "none" 0 0 NA NA 23 9 650000 400000 33058 3071560 13729000 0.598999977111816 1365 114.900001525879 23 "Consumer nondurables-textiles" 18 6.61853122711182
"216" 1772250 "Consumer" "Burlington Industrie" "Mr. Frank S Greenberg" "Chicago" "IL" 64 "U of Chicago" "BA" 49 19 "" "none" 0 0 NA NA 44 8 650004 1110020 12226 NA 5279920 0.689000010490417 2071 88.6999969482422 4 "Consumer nondurables-textiles" 18 6.24852514266968
"217" 1697000 "Consumer" "Shaw Industries" "Mr. Robert E Shaw" "Cartersville" "GA" 62 "" "" NA NA "" "none" 0 0 NA NA 34 32 892500 800000 4497 NA 7538070 6.70499992370605 2476 117.599998474121 47 "Consumer nondurables-textiles" 18 6.22968196868896
"218" 1095890 "Consumer" "NIKE" "Mr. Philip H Knight" "Portland" "OR" 56 "U of Oregon" "BA" 59 21 "Stanford U" "MBA" 1 1 62 24 30 30 750000 300000 45889 NA 4058830 33.0989990234375 3769 306.5 27 "Consumer nondurables-textilesapparel" 18 6.03976678848267
"219" 1204060 "Consumer" "Liz Claiborne" "Mr. Jerome A Chazen" "New York" "NY" 67 "U of Wisc Madis" "BA" 48 21 "Columbia" "MBA" 1 1 50 23 17 5 574100 NA 629961 NA 5661610 2.9779999256134 2204 125.300003051758 7 "Consumer nondurables-textilesapparel" 18 6.08064794540405
"220" 2000000 "Consumer" "Fruit of the Loom" "Mr. William Farley" "Pawtucket" "RI" 51 "Bowdoin C" "AB" 64 21 "Boston C" "JD" 0 1 69 26 18 9 850000 1150000 NA NA 13920700 9.24699974060059 1884 212.800003051758 27 "Consumer nondurables-textilesapparel" 18 6.30103015899658
"221" 2160230 "Consumer" "VF" "Mr. Lawrence R Pugh" "White Plains" "NY" 61 "Colby C" "BBA" 56 23 "" "none" 0 0 NA NA 14 12 735000 400000 131166 894062 10784200 0.0379999987781048 4320 246.399993896484 12 "Consumer nondurables-textilesapparel" 18 6.33449983596802
"222" 1880830 "Consumer" "Reebok International" "Mr. Paul B Fireman" "Cambridge" "MA" 50 "" "" NA NA "" "none" 0 0 NA NA 15 15 1000010 650000 230813 NA 35525100 14.8330001831055 2894 223.399993896484 21 "Consumer nondurables-textilesapparel" 18 6.2743501663208
"223" 314382 "Utility" "Union Electric" "Mr. Charles W Mueller" "Belleville" "IL" 55 "St Louis U" "BSE" 61 22 "St Louis U" "MBA" 1 1 66 27 33 1 237000 55000 22382 NA NA 0.00400000018998981 2066 297.200012207031 15 "Electric utilities-north central" 19 5.49745798110962
"224" 795000 "Utility" "DPL" "Mr. Peter H Forster" "Germany" "" 51 "U of Wisc Madis" "BS" 64 21 "Brooklyn Law Sc" "JD" 0 1 72 29 21 9 496000 298000 1000 NA 4084400 0.0199999995529652 1151 139 21 "Electric utilities-north central" 19 5.90036678314209
"225" 1012000 "Utility" "DQE" "Mr. Wesley W von Schack" "New York" "NY" 50 "Fordham U" "AB" 65 21 "Pace U NY" "PhD" 0 1 90 46 10 8 440000 NA NA 572000 2948380 0.0430000014603138 1196 141.399993896484 18 "Electric utilities-north central" 19 6.00518083572388
"226" 713398 "Utility" "Cincinnati GasElec" "Mr. Jackson H Randolph" "Cincinnati" "OH" 63 "U of Cincinnati" "BBA" 58 27 "U of Cincinnati" "MBA" 1 1 68 37 35 8 425000 200000 88398 NA 2693200 0.025000000372529 1752 -8.69999980926514 16 "Electric utilities-north central" 19 5.85333204269409
"227" 587170 "Utility" "Wisconsin Energy" "Mr. Richard A Abdoo" "Port Huron" "MI" 50 "U of Dayton" "BSE" 65 21 "U of Detroit" "MA" 0 1 69 25 19 3 450000 122000 15170 NA 1899320 0.0109999999403954 1644 188.5 14 "Electric utilities-north central" 19 5.76876401901245
"228" 444847 "Utility" "Cipsco" "Mr. Clifford L Greenwalt" "Solano" "NM" 61 "U of Missouri" "BSC" 60 27 "U of Illinois" "MBA" 1 1 77 44 31 5 339093 99902 5852 NA 1338020 0.028999999165535 845 85.5 14 "Electric utilities-north central" 19 5.64821100234985
"229" 514901 "Utility" "Kansas City PowerL" "Mr. Drue A Jennings" "Topeka" "KS" 47 "U of Kansas" "BS" 68 21 "U of Kansas" "JD" 0 1 72 25 20 6 375000 113750 26151 NA 2073780 0.0260000005364418 857 105.800003051758 15 "Electric utilities-north central" 19 5.71172380447388
"230" 919318 "Utility" "PSI Resources" "Mr. James E Rogers" "Birmingham" "AL" 46 "U of Kentucky" "BBA" 70 22 "U of Kentucky" "JD" 0 1 74 26 6 6 402408 239324 277586 NA 3511440 0.0399999991059303 1088 96.4000015258789 18 "Electric utilities-north central" 19 5.96346616744995
"231" 964239 "Utility" "Commonwealth Edison" "Mr. James J O'Connor" "Chicago" "IL" 57 "Col of the Holy" "BS" 58 21 "Georgetown U" "LLB" 0 1 63 26 31 14 668126 215137 80976 NA 3665630 0.00800000037997961 5260 102.699996948242 2 "Electric utilities-north central" 19 5.98418521881104
"232" 391101 "Utility" "Centerior Energy" "Mr. Robert J Farling" "Warren" "OH" 58 "Case Western" "BSE" 58 22 "Case Western" "MBA" 1 1 65 29 35 2 361306 NA 13250 16545 1075860 0.0120000001043081 2474 -942.599975585938 1 "Electric utilities-north central" 19 5.59228897094727
"233" 617954 "Utility" "Nipsco Industries" "Mr. Gary L Neale" "Lead" "SD" 54 "U of Washington" "BA" 62 22 "U of Washington" "MBA" 1 1 65 25 5 1 400000 206000 11954 NA NA 0.0500000007450581 1678 156.100006103516 24 "Electric utilities-north central" 19 5.79095602035522
"234" 659789 "Utility" "CMS Energy" "Mr. William T McCormick J" "Washington" "DC" 49 "Cornell" "BS" 66 21 "MIT" "PhD" 0 1 69 24 9 9 625000 NA 34789 NA 4962850 0.130999997258186 3482 155 NA "Electric utilities-north central" 19 5.81940507888794
"235" 770956 "Utility" "Ipalco Enterprises" "Mr. John R Hodowal" "Dayton" "OH" 49 "Purdue U" "BSI" 66 21 "Indiana U" "JD" 0 1 70 25 26 5 424459 209672 136825 NA 3661230 0.0419999994337559 664 75.4000015258789 15 "Electric utilities-north central" 19 5.88703012466431
"236" 476785 "Utility" "Illinois Power" "Mr. Larry D Haab" "Fairbury" "IL" 56 "Millikin U" "BS" 59 21 "" "none" 0 0 NA NA 29 3 437500 22531 16754 NA 1604830 0.0120000001043081 1581 -55.7999992370605 10 "Electric utilities-north central" 19 5.67832279205322
"237" 566357 "Utility" "Ohio Edison" "Mr. Willard R Holland" "Springfield" "TN" 58 "Rose-Hulman Tec" "BS" 65 29 "Rose-Hulman Tec" "MS" 0 1 66 30 3 1 381416 158794 26147 NA NA 0.0020000000949949 2370 24.5 7 "Electric utilities-north central" 19 5.75308990478516
"238" 580470 "Utility" "Western Resources" "Mr. John E Hayes Jr" "Kansas City" "MO" 56 "Rockhurst C" "BS" 59 21 "" "none" 0 0 NA NA 5 5 416666 85000 78804 NA 1871840 0.0240000002086163 1909 177.399993896484 13 "Electric utilities-north central" 19 5.76378011703491
"239" 705255 "Utility" "American Electric Po" "Dr. E LinnDraper Jr" "Houston" "TX" 52 "Rice U" "BA" 64 22 "Cornell" "PhD" 0 1 70 28 2 1 538333 148742 18180 NA NA 0.00100000004749745 5269 353.799987792969 11 "Electric utilities-north central" 19 5.84834623336792
"240" 645880 "Utility" "Detroit Edison" "Mr. John E Lobbia" "Chicago" "IL" 52 "U of Detroit" "BSE" 64 22 "" "none" 0 0 NA NA 30 4 501250 124060 20570 NA 2432180 0.00700000021606684 3555 521.900024414062 15 "Electric utilities-north central" 19 5.81015205383301
"241" 976510 "Utility" "Northern States Powe" "Mr. James J Howard" "Pittsburgh" "PA" 58 "U of Pittsburgh" "BBA" 57 21 "MIT" "MS" 0 1 70 34 7 7 511300 231931 233279 NA 3788150 0.0299999993294477 2404 211.699996948242 12 "Electric utilities-north central" 19 5.98967695236206
"242" 434984 "Utility" "Delmarva PowerLigh" "Mr. Howard E Cosgrove" "Philadelphia" "PA" 51 "U of Virginia" "BS" 66 23 "U of Delaware" "MBA" 1 1 70 27 28 2 320000 86400 28584 NA NA 0.017000000923872 971 111.099998474121 11 "Electric utilities-northeast" 19 5.63847303390503
"243" 877840 "Utility" "Boston Edison" "Mr. Bernard W Reznicek" "Dodge" "NE" 57 "Creighton U" "BS" 58 21 "U of Nebraska L" "MBA" 1 1 79 42 7 3 435000 283500 159340 NA 3045650 0.0270000007003546 1482 118.199996948242 19 "Electric utilities-northeast" 19 5.94341516494751
"244" 669135 "Utility" "Public Service Enter" "Mr. E JamesFerland" "Boston" "MA" 52 "U of Maine" "BS" 64 22 "U of New Haven" "MBA" 1 1 76 34 8 8 622606 NA 36079 10450 4049470 0.0140000004321337 5706 595.5 10 "Electric utilities-northeast" 19 5.82551383972168
"245" 713490 "Utility" "New England Electric" "Mr. John W Rowe" "Dodgeville" "WI" 49 "U of Wisc Madis" "BS" 67 22 "U of Wisc Madis" "JD" 0 1 70 25 5 5 433908 268323 11259 NA 3309190 0.0309999994933605 2234 190.199996948242 17 "Electric utilities-northeast" 19 5.8533878326416
"246" 770244 "Utility" "General Public Utili" "Mr. James R Leva" "Boonton" "NJ" 62 "Fairleigh Dicki" "BSE" 60 28 "Seton Hall C" "JD" 0 1 80 48 42 2 523750 189000 57494 NA 1769460 0.00300000002607703 3596 295.700012207031 15 "Electric utilities-northeast" 19 5.88662815093994
"247" 415552 "Utility" "New York State Elect" "Mr. James A Carrigg" "Johnson City" "NY" 61 "Broome Comm" "AAS" 58 25 "" "none" 0 0 NA NA 36 6 413123 NA 2429 NA 1941690 0.0140000004321337 1800 166 11 "Electric utilities-northeast" 19 5.61862516403198
"248" 983484 "Utility" "Potomac Electric Pow" "Mr. Edward F Mitchell" "Harrisonburg" "VA" 62 "U of Virginia" "BSE" 56 24 "George Washingt" "MEA" 0 1 60 28 38 5 540000 218700 224784 NA 3356800 0.0410000011324883 1702 241.600006103516 9 "Electric utilities-northeast" 19 5.99276685714722
"249" 902783 "Utility" "Consolidated Edison" "Mr. Eugene R McGrath" "New York" "NY" 52 "Manhattan C" "BSM" 63 21 "Iona C" "MBA" 1 1 80 38 31 4 551667 253500 97616 NA 3144590 0.00499999988824129 6265 658.5 12 "Electric utilities-northeast" 19 5.95558309555054
"250" 397721 "Utility" "Atlantic Energy" "Mr. Jerrold L Jacobs" "Brooklyn" "NY" 55 "NJ Tech" "BSE" 61 22 "" "none" 0 0 NA NA 33 1 284670 70400 42651 NA NA 0.0219999998807907 866 95.3000030517578 12 "Electric utilities-northeast" 19 5.59957885742188
"251" 457096 "Utility" "Pennsylvania Power" "Mr. William F Hecht" "New York" "NY" 51 "Lehigh U" "BS" 64 21 "Lehigh U" "MS" 0 1 70 27 30 1 375000 45000 37096 NA NA 0.00800000037997961 2727 348.100006103516 13 "Electric utilities-northeast" 19 5.66000699996948
"252" 586889 "Utility" "Allegheny Power Syst" "Mr. KlausBergman" "Germany" "" 63 "Columbia" "AB" 53 22 "Columbia" "LLB" 0 1 55 24 22 9 460000 80000 46889 NA 2556480 0.00800000037997961 2332 215.800003051758 13 "Electric utilities-northeast" 19 5.76855611801147
"253" 623683 "Utility" "Niagara Mohawk Power" "Mr. William E Davis" "Schenevus" "NY" 52 "US Naval Acad" "BS" 64 22 "George Washingt" "MSA" 0 1 70 28 4 1 394045 40632 189006 NA NA 0.00100000004749745 3933 271.799987792969 11 "Electric utilities-northeast" 19 5.79496383666992
"254" 775403 "Utility" "Northeast Utilities" "Mr. Bernard M Fox" "New York" "NY" 51 "Manhattan C" "BSE" 63 20 "Rensselaer" "MSEE" 0 1 64 21 30 1 478775 180780 115848 NA NA 0.0130000002682209 3629 198.300003051758 14 "Electric utilities-northeast" 19 5.88952684402466
"255" 551823 "Utility" "Long Island Lighting" "Dr. William J Catacosinos" "New York" "NY" 64 "NYU" "BS" 51 21 "NYU" "PhD" 0 1 62 32 15 10 534370 NA 17453 NA 2630490 0.00800000037997961 2881 296.600006103516 15 "Electric utilities-northeast" 19 5.74179983139038
"256" 626377 "Utility" "Baltimore GasElect" "Mr. Christian H Poindexte" "Evansville" "IN" 55 "US Naval Acad" "BS" 60 21 "Loyola U" "MBA" 1 1 75 36 27 1 465533 124000 36844 NA NA 0.0500000007450581 2669 309.899993896484 11 "Electric utilities-northeast" 19 5.79683589935303
"257" 1595600 "Utility" "PECO Energy" "Mr. Joseph F Paquette Jr" "Norwood" "MA" 59 "Yale" "BS" 56 21 "" "none" 0 0 NA NA 38 6 425534 403262 NA 766800 4852080 0.0130000002682209 3988 590.599975585938 14 "Electric utilities-northeast" 19 6.20292377471924
"258" 2239950 "Utility" "Houston Industries" "Mr. Don D Jordan" "Corp Christi" "TX" 62 "U of Texas Aust" "BBA" 54 22 "S Texas Col of" "JD" 0 1 69 37 38 17 829500 NA 1410450 NA 6749680 0.0469999983906746 4324 416 13 "Electric utilities-south central" 19 6.35023784637451
"259" 1298700 "Utility" "Texas Utilities" "Mr. Jerry S Farrington" "Burkburnett" "TX" 59 "U of North Texa" "BBA" 55 20 "U of North Texa" "MBA" 1 1 58 23 37 7 743750 125000 429949 NA 4534830 0.00700000021606684 5435 368.700012207031 15 "Electric utilities-south central" 19 6.11350917816162
"260" 755219 "Utility" "CentralSouth West" "Mr. E RBrooks" "Slaton" "TX" 56 "Texas Tech U" "BSE" 61 23 "" "none" 0 0 NA NA 33 3 549167 57265 148787 NA 2727180 0.0270000007003546 3687 262 17 "Electric utilities-south central" 19 5.87807321548462
"261" 421197 "Utility" "Southwestern Public" "Mr. Bill D Helton" "Wheeler" "TX" 55 "Texas Tech U" "BSE" 64 25 "" "none" 0 0 NA NA 30 4 263333 75674 82190 NA 1401880 0.0270000007003546 826 104.5 10 "Electric utilities-south central" 19 5.62448501586914
"262" 579784 "Utility" "Oklahoma GasElectr" "Mr. James G Harlow Jr" "Oklahoma City" "OK" 59 "U of Oklahoma" "BS" 57 22 "" "none" 0 0 NA NA 33 18 500000 NA 79784 NA 2744340 0.10700000077486 1447 114.300003051758 8 "Electric utilities-south central" 19 5.76326608657837
"263" 1328000 "Utility" "Entergy" "Mr. EdwinLupberger" "Atlanta" "GA" 57 "Davidson C" "AB" 58 21 "Emory U" "MBA" 1 1 63 26 15 8 542077 437610 301597 46717 4708380 0.0130000002682209 4485 458.100006103516 19 "Electric utilities-south central" 19 6.12319803237915
"264" 777372 "Utility" "Carolina PowerLigh" "Mr. Sherwood H Smith Jr" "Jacksonville" "FL" 59 "U of North Caro" "AB" 56 21 "U of North Caro" "JD" 0 1 60 25 29 15 567000 150000 60372 NA 3117900 0.0370000004768372 2895 346.5 14 "Electric utilities-southeast" 19 5.89062881469727
"265" 737574 "Utility" "Dominion Resources" "Mr. Thos E Capps" "Wilmington" "NC" 58 "U of North Caro" "BA" 58 22 "U of North Caro" "JD" 0 1 65 29 10 4 534100 187066 16408 NA 2819640 0.0350000001490116 4434 516.599975585938 15 "Electric utilities-southeast" 19 5.86780595779419
"266" 1084900 "Utility" "Florida Progress" "Dr. Jack B Critchfield" "Rockwood" "PA" 61 "Slippery Rock U" "BS" 55 22 "U of Pittsburgh" "MA" 0 1 60 27 11 4 585186 396500 103210 NA 3074460 0.00999999977648258 2449 195.800003051758 13 "Electric utilities-southeast" 19 6.03538990020752
"267" 916567 "Utility" "Scana" "Mr. Lawrence M Gressette" "St Matthews" "SC" 62 "Clemson U" "BS" 54 22 "U of S Carolina" "LLB" 0 1 59 27 11 4 383557 186615 346395 NA 2802330 0.0320000015199184 1264 168 16 "Electric utilities-southeast" 19 5.9621639251709
"268" 617101 "Utility" "Duke Power" "Mr. William H Grigg" "Shelby" "NC" 61 "Duke U" "AB" 54 21 "Duke U" "LLB" 0 1 58 25 31 1 411500 NA 205601 NA NA 0.017000000923872 4282 626.400024414062 16 "Electric utilities-southeast" 19 5.79035615921021
"269" 2064270 "Utility" "FPL Group" "Mr. James L Broadhead" "New Rochelle" "NY" 58 "Cornell" "BSM" 58 22 "Columbia" "JD" 0 1 63 27 5 5 765900 581318 717052 NA 7151980 0.0689999982714653 5316 428.700012207031 10 "Electric utilities-southeast" 19 6.3147668838501
"270" 1279980 "Utility" "Southern Co" "Mr. Edward L Addison" "Cottageville" "SC" 64 "U of S Carolina" "BEE" 50 20 "" "none" 0 0 NA NA 40 11 734714 148118 397150 NA 5230240 0.0120000001043081 8489 1002 18 "Electric utilities-southeast" 19 6.10720300674438
"271" 1023520 "Utility" "TECO Energy" "Mr. Timothy L Guzzle" "Ottumwa" "IA" 57 "U of Oklahoma" "BS" 58 21 "Texas Christian" "PhD" 0 1 65 28 6 5 443750 194000 28267 357500 4261430 0.0199999995529652 1284 150.300003051758 17 "Electric utilities-southeast" 19 6.01009607315063
"272" 588929 "Utility" "KU Energy" "Mr. John T Newton" "Shelbyville" "KY" 63 "Western Kentuck" "BS" 52 21 "" "none" 0 0 NA NA 36 7 424237 144362 20330 NA 2322110 0.0689999982714653 607 80 14 "Electric utilities-southeast" 19 5.7700629234314
"273" 1271950 "Utility" "LGE Energy" "Mr. Roger W Hale" "Baltimore" "MD" 50 "U of Maryland" "BA" 65 21 "MIT" "MS" 0 1 79 35 5 5 385000 261800 625145 NA 3946640 0.0520000010728836 900 88.3000030517578 19 "Electric utilities-southeast" 19 6.10446977615356
"274" 1425050 "Utility" "San Diego GasElect" "Mr. Thomas A Page" "Niagara Falls" "NY" 61 "Purdue U" "BS" 55 22 "Purdue U" "MBA" 1 1 63 30 16 13 509203 337000 578848 NA 5789250 0.12899999320507 1980 218.699996948242 10 "Electric utilities-western" 19 6.15383005142212
"275" 575320 "Utility" "Hawaiian Electric In" "Mr. Robert F Clarke" "Oakland" "CA" 52 "U of Cal Berkel" "BA" 65 23 "U of Cal Berkel" "MBA" 1 1 66 24 7 3 403800 160578 10942 NA 1989900 0.0399999991059303 1142 48.7000007629395 8 "Electric utilities-western" 19 5.75990915298462
"276" 1110120 "Utility" "SCEcorp" "Mr. John E Bryson" "New York" "NY" 50 "Stanford U" "BA" 65 21 "Yale" "JD" 0 1 69 25 10 4 600000 325000 185118 NA 3800110 0.00100000004749745 7821 639 8 "Electric utilities-western" 19 6.04537010192871
"277" 1255470 "Utility" "Washington Water Pow" "Mr. Paul A Redmond" "Lakeview" "OR" 57 "Gonzaga U" "BS" 65 28 "" "none" 0 0 NA NA 29 10 484167 286815 484486 NA 3081380 0.0750000029802322 641 82.8000030517578 14 "Electric utilities-western" 19 6.09880590438843
"278" 280396 "Utility" "Montana Power" "Mr. Daniel T Berube" "Boston" "MA" 60 "U of Washington" "BS" 64 30 "Montana C" "MS" 0 1 71 37 30 2 274100 NA 6296 NA 841619 0.0230000000447035 1076 107.199996948242 14 "Electric utilities-western" 19 5.44777202606201
"279" 525688 "Utility" "Public Service Co of" "Mr. Delwin D Hock" "Colorado Spring" "CO" 59 "U of Colorado" "BS" 56 21 "" "none" 0 0 NA NA 32 6 425012 79300 21376 NA 2097560 0.0329999998211861 1999 157.399993896484 16 "Electric utilities-western" 19 5.72072792053223
"280" 1236750 "Utility" "Pacific GasElectri" "Mr. Richard A Clarke" "San Francisco" "CA" 64 "U of Cal Berkel" "AB" 52 22 "U of Cal Berkel" "JD" 0 1 55 25 39 8 640000 143070 453676 NA 6387140 0.00600000005215406 10582 1065.5 17 "Electric utilities-western" 19 6.09228181838989
"281" 756199 "Utility" "PacifiCorp" "Dr. Frederick W Buckman" "Kalamazoo" "MI" 48 "U of Michigan" "BS" 66 20 "MIT" "PhD" 0 1 70 24 1 1 504116 252083 NA NA NA 0.0140000004321337 3412 475.100006103516 7 "Electric utilities-western" 19 5.8786358833313
"282" 324434 "Utility" "Idaho Power" "Mr. Joseph W Marshall" "Twin Falls" "ID" 55 "US Naval Acad" "BS" 61 22 "" "none" 0 0 NA NA 25 5 315000 NA 9434 NA 1314130 0.0399999991059303 540 84.5 11 "Electric utilities-western" 19 5.51112604141235
"283" 649482 "Utility" "Portland General" "Mr. Ken L Harrison" "Bakersfield" "CA" 51 "Oregon State U" "BS" 64 21 "Oregon State U" "MS" 0 1 66 23 19 5 415000 178472 56010 NA 2673650 0.034000001847744 947 89.0999984741211 3 "Electric utilities-western" 19 5.81256723403931
"284" 655381 "Utility" "Puget Sound PowerL" "Mr. Richard R Sonstelie" "Canada" "" 49 "US Military Aca" "BS" 66 21 "Harvard" "MBA" 1 1 74 29 20 2 320419 66000 204960 64002 1581200 0.0109999999403954 1113 138.300003051758 13 "Electric utilities-western" 19 5.81649398803711
"285" 1380850 "Utility" "Pinnacle West Capita" "Mr. RichardSnell" "Phoenix" "AZ" 63 "Stanford U" "BA" 52 21 "Stanford U" "JD" 0 1 54 23 4 4 515000 202498 663354 NA 3277660 0.0469999983906746 1719 170 9 "Electric utilities-western" 19 6.14014720916748
"286" 678569 "Energy" "NorAm Energy" "Mr. T MiltonHonea Jr" "Fulton" "AR" 61 "U of Cal Berkel" "BS" 55 22 "Harvard" "MBA" 1 1 58 25 10 1 346593 300000 31976 NA NA 0.0570000000298023 2950 39.9000015258789 -16 "Energy-integrated gas" 12 5.83159399032593
"287" 691432 "Energy" "Columbia Gas System" "Mr. John H Croom" "Fayetteville" "NC" 61 "NC State U" "BS" 54 21 "" "none" 0 0 NA NA 40 10 652000 NA 39432 NA 3724260 0.0689999982714653 3391 152.199996948242 -3 "Energy-integrated gas" 12 5.83974885940552
"288" 773752 "Energy" "Enserch" "Mr. David W Biegler" "San Antonio" "TX" 47 "St Mary's U" "BS" 68 21 "" "none" 0 0 NA NA 26 1 525000 210000 38752 NA NA 0.0270000007003546 1902 59.2000007629395 -4 "Energy-integrated gas" 12 5.88860177993774
"289" 1263390 "Energy" "Consolidated Natural" "Mr. George A Davidson Jr" "Pittsburgh" "PA" 55 "U of Pittsburgh" "BS" 60 21 "" "none" 0 0 NA NA 28 7 511100 280400 284819 187067 4469670 0.0480000004172325 3184 188.5 4 "Energy-integrated gas" 12 6.10153722763062
"290" 1210250 "Energy" "Pacific Enterprises" "Mr. Willis B Wood Jr" "Kansas City" "MO" 59 "U of Tulsa" "BS" 57 22 "" "none" 0 0 NA NA 33 2 641000 511438 57808 NA 2570880 0.0320000015199184 2899 181 -8 "Energy-integrated gas" 12 6.08287477493286
"291" 4004090 "Energy" "Exxon" "Mr. Lee R Raymond" "Watertown" "SD" 55 "U of Wisc Madis" "BS" 60 21 "U of Minnesota" "PhD" 0 1 63 24 31 1 1143330 500000 352567 2008190 NA 0.00600000005215406 97825 5280 13 "Energy-international oils" 12 6.60250377655029
"292" 1889680 "Energy" "Texaco" "Mr. Alfred C DeCrane Jr" "Cleveland" "OH" 62 "U of Notre Dame" "BA" 53 21 "Georgetown U" "JD" 0 1 59 27 35 1 875000 807008 67444 140230 NA 0.0439999997615814 33245 1068 12 "Energy-international oils" 12 6.27638816833496
