"state" "statefips" "county" "countycode" "acres1997" "acres2002" "acres2007" "farms1997" "farms2002" "farms2007" "large1997" "large2002" "large2007" "small1997" "small2002" "small2007"
"723" "INDIANA" 18 "MIAMI" 103 201428 191369 178030 760 685 682 45 42 46 51 43 86
"724" "INDIANA" 18 "MONROE" 105 69138 60510 53538 582 547 481 2 4 4 33 50 87
"725" "INDIANA" 18 "MONTGOMERY" 107 274658 273426 301279 768 644 745 79 89 91 64 62 106
"726" "INDIANA" 18 "MORGAN" 109 138908 111609 114136 728 690 642 28 27 24 71 86 151
"727" "INDIANA" 18 "NEWTON" 111 208982 181557 190432 416 344 434 61 61 53 24 27 55
"728" "INDIANA" 18 "NOBLE" 113 188787 173298 159860 1098 1029 1196 28 31 30 78 61 194
"729" "INDIANA" 18 "OHIO" 115 32771 23887 21500 295 213 179 2 1 1 22 10 26
"730" "INDIANA" 18 "ORANGE" 117 125634 106190 97411 620 535 474 16 16 19 23 16 38
"731" "INDIANA" 18 "OWEN" 119 112257 98679 87813 681 588 570 18 16 13 22 27 57
"732" "INDIANA" 18 "PARKE" 121 193431 164743 177343 550 470 477 55 48 49 41 20 50
"733" "INDIANA" 18 "PERRY" 123 88683 76284 70409 563 470 425 4 5 9 17 14 19
"734" "INDIANA" 18 "PIKE" 125 85503 75716 73612 327 288 334 18 21 19 22 11 39
"735" "INDIANA" 18 "PORTER" 127 138970 145779 115047 549 606 517 29 40 38 55 82 86
"736" "INDIANA" 18 "POSEY" 129 197781 191886 204004 482 396 438 72 72 73 37 31 54
"737" "INDIANA" 18 "PULASKI" 131 237588 222797 232240 576 524 552 68 70 68 36 40 53
"738" "INDIANA" 18 "PUTNAM" 133 202153 180544 168446 938 853 843 44 47 49 73 56 152
"739" "INDIANA" 18 "RANDOLPH" 135 225447 257846 231784 959 786 784 43 66 70 59 66 93
"740" "INDIANA" 18 "RIPLEY" 137 165073 173082 159017 935 904 873 23 29 39 50 55 79
"741" "INDIANA" 18 "RUSH" 139 232624 223527 216890 725 606 607 52 60 62 55 38 68
"742" "INDIANA" 18 "SCOTT" 143 60444 69279 62041 416 387 394 8 16 14 21 29 66
"743" "INDIANA" 18 "SHELBY" 145 205413 199904 205432 735 651 636 61 63 70 79 68 108
"744" "INDIANA" 18 "SPENCER" 147 173776 154895 150244 711 593 632 41 36 30 47 31 54
"745" "INDIANA" 18 "ST. JOSEPH" 141 158912 165143 178674 771 855 712 32 33 46 75 98 100
"746" "INDIANA" 18 "STARKE" 149 138706 134191 153651 470 518 640 38 43 52 17 13 42
"747" "INDIANA" 18 "STEUBEN" 151 131619 112729 106393 688 674 719 14 14 14 39 33 76
"748" "INDIANA" 18 "SULLIVAN" 153 181101 178617 177368 540 437 447 53 58 59 27 16 35
"749" "INDIANA" 18 "SWITZERLAND" 155 72775 60243 47461 616 464 374 4 4 4 50 22 41
"750" "INDIANA" 18 "TIPPECANOE" 157 246251 220779 218301 760 705 757 71 72 67 81 109 188
"751" "INDIANA" 18 "TIPTON" 159 161971 151647 165875 458 360 458 49 45 54 54 31 79
"752" "INDIANA" 18 "UNION" 161 85846 85129 73249 303 262 233 14 17 21 15 17 13
"753" "INDIANA" 18 "VANDERBURGH" 163 74658 82035 71927 306 306 335 15 22 17 38 34 91
"754" "INDIANA" 18 "VERMILLION" 165 119005 109778 132353 276 221 293 32 37 41 16 8 44
"755" "INDIANA" 18 "VIGO" 167 115737 122859 121454 525 476 518 26 39 39 51 52 80
"756" "INDIANA" 18 "WABASH" 169 194640 214703 200689 872 799 850 36 51 47 82 76 137
"757" "INDIANA" 18 "WARREN" 171 188664 166907 195930 429 346 391 59 58 61 31 22 38
"758" "INDIANA" 18 "WARRICK" 173 100957 94441 109932 409 401 413 21 23 29 33 53 52
"759" "INDIANA" 18 "WASHINGTON" 175 191720 180559 199942 1075 977 893 25 29 38 44 56 97
"760" "INDIANA" 18 "WAYNE" 177 180499 170724 164117 952 850 894 37 36 32 56 49 108
"761" "INDIANA" 18 "WELLS" 179 201354 226294 194602 736 631 701 47 65 57 66 45 143
"762" "INDIANA" 18 "WHITE" 181 276885 283746 318110 685 589 646 89 82 113 61 57 88
"763" "INDIANA" 18 "WHITLEY" 183 170386 172094 137082 919 840 809 35 44 38 70 56 108
"764" "IOWA" 19 "ADAIR" 1 351218 373216 311678 837 843 766 81 97 86 42 28 45
"765" "IOWA" 19 "ADAMS" 3 243735 237824 224882 608 567 610 48 69 43 23 22 32
"766" "IOWA" 19 "ALLAMAKEE" 5 308083 326122 274844 1025 1083 1032 39 52 45 45 49 54
"767" "IOWA" 19 "APPANOOSE" 7 254160 235638 197904 862 816 731 41 44 40 25 19 26
"768" "IOWA" 19 "AUDUBON" 9 281826 261210 279079 686 638 666 55 71 75 45 33 69
"769" "IOWA" 19 "BENTON" 11 435037 400654 400934 1286 1186 1251 90 95 95 91 72 138
"770" "IOWA" 19 "BLACK HAWK" 13 292620 275014 282163 1061 939 942 54 68 67 88 78 104
"771" "IOWA" 19 "BOONE" 15 342552 312708 332048 920 827 925 79 98 114 75 70 115
"772" "IOWA" 19 "BREMER" 17 246107 254923 243057 1044 956 995 35 51 48 91 71 127
"773" "IOWA" 19 "BUCHANAN" 19 347257 340422 360316 1203 1067 1174 62 81 77 97 86 174
"774" "IOWA" 19 "BUENA VISTA" 21 366225 341677 362553 904 825 924 58 66 78 77 59 83
"775" "IOWA" 19 "BUTLER" 23 334766 327708 375781 1158 1076 1214 60 68 93 86 85 141
"776" "IOWA" 19 "CALHOUN" 25 345828 340739 359434 829 762 845 80 106 107 52 65 82
"777" "IOWA" 19 "CARROLL" 27 361668 364175 358142 1151 1045 978 40 69 82 100 95 99
"778" "IOWA" 19 "CASS" 29 343530 336625 317913 852 764 763 90 115 101 60 41 35
"779" "IOWA" 19 "CEDAR" 31 337077 338493 336885 1023 971 1036 58 86 89 61 73 98
"780" "IOWA" 19 "CERRO GORDO" 33 313140 323420 336732 880 795 844 66 100 92 59 66 80
"781" "IOWA" 19 "CHEROKEE" 35 340606 335410 314896 930 837 840 59 73 65 47 45 79
"782" "IOWA" 19 "CHICKASAW" 37 281157 271098 289146 979 951 1037 42 46 61 68 60 111
"783" "IOWA" 19 "CLARKE" 39 233349 216187 190727 737 726 690 46 41 29 27 18 56
"784" "IOWA" 19 "CLAY" 41 294529 311695 328216 705 691 798 73 87 90 44 36 86
"785" "IOWA" 19 "CLAYTON" 43 464582 432724 408987 1738 1601 1655 49 53 58 96 63 132
"786" "IOWA" 19 "CLINTON" 45 381666 387596 395585 1355 1219 1314 53 74 92 102 82 150
"787" "IOWA" 19 "CRAWFORD" 47 443675 445913 432351 1169 927 855 83 118 105 78 50 82
"788" "IOWA" 19 "DALLAS" 49 337424 309157 297090 1002 938 912 91 89 86 78 74 104
"789" "IOWA" 19 "DAVIS" 51 279239 290887 218698 964 1007 910 47 48 38 27 15 43
"790" "IOWA" 19 "DECATUR" 53 276770 277928 228528 803 788 738 56 59 34 23 9 46
"791" "IOWA" 19 "DELAWARE" 55 328742 345238 333920 1318 1253 1470 34 54 40 78 65 181
"792" "IOWA" 19 "DES MOINES" 57 199778 181197 184975 697 674 646 35 29 46 39 30 48
"793" "IOWA" 19 "DICKINSON" 59 210180 203174 226331 551 492 566 43 54 52 24 18 35
"794" "IOWA" 19 "DUBUQUE" 61 344383 315895 310817 1669 1481 1483 15 23 29 90 53 101
"795" "IOWA" 19 "EMMET" 63 229501 235407 249779 556 510 532 43 69 78 24 28 51
"796" "IOWA" 19 "FAYETTE" 65 416104 414853 417219 1369 1344 1398 69 86 78 93 100 117
"797" "IOWA" 19 "FLOYD" 67 310225 291282 298459 908 895 991 67 72 84 44 57 74
"798" "IOWA" 19 "FRANKLIN" 69 354426 337336 366609 896 825 923 85 99 88 58 49 93
"799" "IOWA" 19 "FREMONT" 71 335831 318306 245299 607 547 497 109 115 87 18 10 22
"800" "IOWA" 19 "GREENE" 73 354797 347078 353516 802 727 820 79 124 123 46 37 81
"801" "IOWA" 19 "GRUNDY" 75 330840 324139 315968 791 724 800 75 77 79 68 83 136
"802" "IOWA" 19 "GUTHRIE" 77 313984 323738 354851 910 885 987 66 86 106 47 21 76
"803" "IOWA" 19 "HAMILTON" 79 359977 348216 346552 832 797 882 86 98 105 61 61 118
"804" "IOWA" 19 "HANCOCK" 81 347522 322322 361006 895 827 949 70 84 90 61 60 100
"805" "IOWA" 19 "HARDIN" 83 349851 327725 339001 902 829 943 82 90 96 68 64 102
"806" "IOWA" 19 "HARRISON" 85 412233 428235 365071 938 828 817 112 141 114 46 34 70
"807" "IOWA" 19 "HENRY" 87 252341 251257 239628 899 857 880 43 45 36 46 39 98
"808" "IOWA" 19 "HOWARD" 89 277767 269400 278635 915 891 877 48 52 60 46 38 53
"809" "IOWA" 19 "HUMBOLDT" 91 266824 270868 270227 630 606 632 54 79 63 39 46 56
"810" "IOWA" 19 "IDA" 93 263170 265986 272578 673 618 633 63 75 86 34 39 75
"811" "IOWA" 19 "IOWA" 95 342196 340163 345231 1049 1024 1144 43 62 65 48 49 96
"812" "IOWA" 19 "JACKSON" 97 346548 348814 296433 1368 1336 1214 44 46 54 77 53 75
"813" "IOWA" 19 "JASPER" 99 430023 410347 427822 1275 1212 1166 99 104 109 71 70 122
"814" "IOWA" 19 "JEFFERSON" 101 239397 233238 197301 828 808 773 45 51 39 28 28 32
"815" "IOWA" 19 "JOHNSON" 103 299120 300882 321139 1369 1261 1293 35 41 62 62 48 66
"816" "IOWA" 19 "JONES" 105 334789 311640 324003 1100 1024 1117 54 53 67 70 51 132
"817" "IOWA" 19 "KEOKUK" 107 332196 343858 318160 1035 1093 1163 63 70 53 43 39 75
"818" "IOWA" 19 "KOSSUTH" 109 601406 591814 601517 1468 1340 1395 112 143 163 78 92 144
"819" "IOWA" 19 "LEE" 111 264570 270342 238266 932 945 883 46 55 53 49 36 65
"820" "IOWA" 19 "LINN" 113 353635 348782 335378 1608 1445 1413 60 68 65 104 86 141
"821" "IOWA" 19 "LOUISA" 115 208106 200954 186007 639 601 701 34 48 41 27 28 68
"822" "IOWA" 19 "LUCAS" 117 239541 222234 171150 771 747 699 45 37 27 23 9 41
"823" "IOWA" 19 "LYON" 119 356082 341534 323054 1201 1045 1087 37 56 61 127 69 146
"824" "IOWA" 19 "MADISON" 121 331350 304333 283393 1064 990 956 64 63 65 30 19 105
"825" "IOWA" 19 "MAHASKA" 123 334487 328579 295128 1083 1043 1031 54 59 59 62 35 96
"826" "IOWA" 19 "MARION" 125 296865 276782 246191 1059 1051 951 55 61 55 45 34 80
"827" "IOWA" 19 "MARSHALL" 127 332537 335043 324270 979 848 928 78 114 94 63 42 94
"828" "IOWA" 19 "MILLS" 129 246088 247254 196840 535 462 511 74 87 56 19 16 47
"829" "IOWA" 19 "MITCHELL" 131 272196 289259 294041 871 828 893 48 53 67 86 53 104
"830" "IOWA" 19 "MONONA" 133 387034 392430 393600 740 625 649 105 122 121 32 15 47
"831" "IOWA" 19 "MONROE" 135 227945 252743 201204 739 714 660 31 50 36 15 7 54
"832" "IOWA" 19 "MONTGOMERY" 137 252574 242588 220463 616 583 558 60 68 61 27 14 29
"833" "IOWA" 19 "MUSCATINE" 139 229442 229950 221904 844 816 838 41 53 50 58 30 60
"834" "IOWA" 19 "O BRIEN" 141 367936 362365 345774 1011 993 987 58 64 63 67 75 137
"835" "IOWA" 19 "OSCEOLA" 143 248558 257044 251161 677 636 663 42 58 61 56 39 66
"836" "IOWA" 19 "PAGE" 145 321652 339086 271128 902 873 788 67 90 71 49 24 57
"837" "IOWA" 19 "PALO ALTO" 147 338921 326884 353332 831 783 849 66 96 109 48 38 98
"838" "IOWA" 19 "PLYMOUTH" 149 529330 531053 517248 1566 1339 1442 75 105 129 109 65 95
"839" "IOWA" 19 "POCAHONTAS" 151 370293 354398 362404 810 730 806 77 99 106 28 35 59
"840" "IOWA" 19 "POLK" 153 239580 227069 249427 886 764 738 62 67 82 68 70 121
"841" "IOWA" 19 "POTTAWATTAMIE" 155 561611 540288 485943 1416 1255 1158 143 167 161 91 66 130
"842" "IOWA" 19 "POWESHIEK" 157 348151 344840 312853 1005 925 938 67 77 82 41 35 90
"843" "IOWA" 19 "RINGGOLD" 159 275118 299426 264886 728 758 733 69 80 66 23 9 35
"844" "IOWA" 19 "SAC" 161 354694 339426 363295 847 791 802 72 88 104 53 55 83
"845" "IOWA" 19 "SCOTT" 163 231376 228692 248646 845 750 861 42 56 57 54 42 115
"846" "IOWA" 19 "SHELBY" 165 351506 348104 358376 963 868 871 59 71 89 61 41 70
"847" "IOWA" 19 "SIOUX" 167 503966 505175 478697 1819 1673 1664 59 79 88 260 189 335
"848" "IOWA" 19 "STORY" 169 353532 359604 352240 1004 977 1077 79 97 94 89 87 146
"849" "IOWA" 19 "TAMA" 171 415288 417917 430855 1227 1159 1210 67 94 99 77 45 104
"850" "IOWA" 19 "TAYLOR" 173 304710 308340 282637 807 794 779 58 88 60 32 16 36
"851" "IOWA" 19 "UNION" 175 236211 238034 214618 726 698 681 51 64 55 28 24 42
"852" "IOWA" 19 "VAN BUREN" 177 269100 253255 221529 875 870 808 43 50 42 28 26 60
"853" "IOWA" 19 "WAPELLO" 179 218196 206138 166199 863 845 744 39 44 33 23 31 52
"854" "IOWA" 19 "WARREN" 181 315263 299216 241647 1329 1338 1189 62 65 51 69 73 103
"855" "IOWA" 19 "WASHINGTON" 183 319575 334564 325836 1114 1200 1257 43 57 49 86 68 114
"856" "IOWA" 19 "WAYNE" 185 298435 304983 273212 783 788 814 66 66 66 28 12 67
"857" "IOWA" 19 "WEBSTER" 187 429724 417019 453930 988 932 1103 114 135 153 64 60 109
"858" "IOWA" 19 "WINNEBAGO" 189 252348 240310 251523 654 631 679 57 73 73 61 55 66
"859" "IOWA" 19 "WINNESHIEK" 191 373930 380034 313762 1561 1501 1418 28 57 53 76 65 106
"860" "IOWA" 19 "WOODBURY" 193 526671 442152 445554 1418 1148 1149 117 119 124 84 49 101
"861" "IOWA" 19 "WORTH" 195 236904 224206 231605 649 588 683 52 69 69 49 31 65
"862" "IOWA" 19 "WRIGHT" 197 366111 345490 327728 759 752 771 106 119 109 47 67 50
"863" "KANSAS" 20 "ALLEN" 1 259806 280479 267409 619 619 611 74 81 74 24 17 11
"864" "KANSAS" 20 "ANDERSON" 3 342015 378786 367192 690 654 715 95 110 104 33 12 18
"865" "KANSAS" 20 "ATCHISON" 5 232748 226807 254101 642 619 711 61 56 62 36 27 28
"866" "KANSAS" 20 "BARBER" 7 621376 696850 611493 493 471 427 174 180 151 11 5 11
"867" "KANSAS" 20 "BARTON" 9 628932 650065 558977 808 772 678 180 206 168 29 20 34
"868" "KANSAS" 20 "BOURBON" 11 306357 339073 327534 828 838 928 67 79 61 31 18 14
"869" "KANSAS" 20 "BROWN" 13 317352 324016 346758 593 591 637 100 102 106 29 24 41
"870" "KANSAS" 20 "BUTLER" 15 746596 701202 787290 1348 1309 1427 183 178 181 61 34 34
"871" "KANSAS" 20 "CHASE" 17 396904 361668 319921 290 260 250 77 88 71 16 6 13
"872" "KANSAS" 20 "CHAUTAUQUA" 19 376913 390158 308232 377 371 359 95 97 68 18 3 7
"873" "KANSAS" 20 "CHEROKEE" 21 265507 290552 324383 773 746 809 69 95 96 36 21 19
"874" "KANSAS" 20 "CHEYENNE" 23 554056 576400 576831 404 441 422 168 172 138 11 4 10
"875" "KANSAS" 20 "CLARK" 25 550760 491756 485996 277 302 278 106 103 78 11 2 NA
"876" "KANSAS" 20 "CLAY" 27 337522 393379 350949 548 571 583 126 152 114 36 11 17
"877" "KANSAS" 20 "CLOUD" 29 388423 430890 383981 569 520 466 129 139 130 39 11 5
"878" "KANSAS" 20 "COFFEY" 31 289436 335835 324827 553 607 681 90 110 111 12 6 18
"879" "KANSAS" 20 "COMANCHE" 33 514619 447029 432378 276 274 253 126 115 92 10 1 5
"880" "KANSAS" 20 "COWLEY" 35 645372 690125 575584 1037 1004 1027 162 172 128 64 27 46
"881" "KANSAS" 20 "CRAWFORD" 37 278819 340969 342349 825 825 911 69 83 82 45 28 45
"882" "KANSAS" 20 "DECATUR" 39 497473 469131 483134 398 350 303 166 138 123 18 7 4
"883" "KANSAS" 20 "DICKINSON" 41 514109 550668 536885 961 976 1046 163 192 178 45 27 26
"884" "KANSAS" 20 "DONIPHAN" 43 210383 205680 247815 516 469 573 60 63 62 27 9 34
"885" "KANSAS" 20 "DOUGLAS" 45 213635 201358 220636 905 874 1040 51 45 39 52 53 72
"886" "KANSAS" 20 "EDWARDS" 47 358133 420001 439243 315 353 371 123 121 114 5 5 NA
"887" "KANSAS" 20 "ELK" 49 313467 370355 316707 381 407 361 84 96 76 13 7 8
"888" "KANSAS" 20 "ELLIS" 51 495401 577645 526202 709 758 687 150 175 145 22 14 22
"889" "KANSAS" 20 "ELLSWORTH" 53 371777 412986 365046 444 478 408 129 139 98 14 10 10
"890" "KANSAS" 20 "FINNEY" 55 762871 801695 760110 537 485 516 245 205 191 37 15 26
"891" "KANSAS" 20 "FORD" 57 677769 649460 634240 732 701 664 207 194 168 25 33 29
"892" "KANSAS" 20 "FRANKLIN" 59 295065 338901 313546 1009 977 1051 67 77 69 45 16 19
"893" "KANSAS" 20 "GEARY" 61 145135 179690 148465 227 245 229 52 61 46 17 11 15
"894" "KANSAS" 20 "GOVE" 63 638869 591591 593622 449 395 413 198 177 151 15 9 11
"895" "KANSAS" 20 "GRAHAM" 65 465396 517158 514815 388 431 475 141 136 131 11 7 14
"896" "KANSAS" 20 "GRANT" 67 327249 301883 337320 261 304 326 109 96 93 4 13 13
"897" "KANSAS" 20 "GRAY" 69 550001 501078 546118 464 470 473 171 149 139 13 13 11
"898" "KANSAS" 20 "GREELEY" 71 524462 456359 492945 305 303 303 137 104 103 1 2 2
"899" "KANSAS" 20 "GREENWOOD" 73 607812 594368 608891 591 575 539 132 136 116 25 6 7
"900" "KANSAS" 20 "HAMILTON" 75 556010 535755 610864 287 393 431 158 156 156 6 3 5
"901" "KANSAS" 20 "HARPER" 77 697772 469512 481291 725 523 495 254 140 126 21 3 16
"902" "KANSAS" 20 "HARVEY" 79 338804 351724 338598 869 832 829 92 98 107 59 31 52
"903" "KANSAS" 20 "HASKELL" 81 375199 405930 398805 248 227 248 113 104 97 5 4 9
"904" "KANSAS" 20 "HODGEMAN" 83 477169 470600 525754 362 381 379 164 158 155 7 NA 4
"905" "KANSAS" 20 "JACKSON" 85 305431 337418 339291 1109 1099 1127 62 73 73 42 19 45
"906" "KANSAS" 20 "JEFFERSON" 87 258703 279780 285803 1097 1041 1137 55 64 60 28 25 34
"907" "KANSAS" 20 "JEWELL" 89 459584 496111 471240 602 572 525 159 172 162 15 6 6
"908" "KANSAS" 20 "JOHNSON" 91 131191 148606 114202 656 659 610 33 32 29 50 48 57
"909" "KANSAS" 20 "KEARNY" 93 565581 557734 519424 296 347 337 139 118 121 3 9 7
"910" "KANSAS" 20 "KINGMAN" 95 652719 555799 546231 927 837 876 211 184 166 33 7 14
"911" "KANSAS" 20 "KIOWA" 97 441359 434783 440473 336 379 399 119 124 107 7 9 14
"912" "KANSAS" 20 "LABETTE" 99 315312 361156 371115 939 889 1052 79 97 95 48 21 41
"913" "KANSAS" 20 "LANE" 101 443271 460370 401399 294 312 284 140 142 115 7 2 7
"914" "KANSAS" 20 "LEAVENWORTH" 103 198247 197168 194854 1133 1094 1203 30 32 26 60 37 66
"915" "KANSAS" 20 "LINCOLN" 105 418665 446050 432479 478 458 473 141 138 114 12 5 5
"916" "KANSAS" 20 "LINN" 107 270106 310836 265319 808 903 918 59 76 47 25 10 12
"917" "KANSAS" 20 "LOGAN" 109 633383 609870 566569 344 318 289 166 155 134 11 6 2
"918" "KANSAS" 20 "LYON" 111 474952 493853 473679 885 898 930 131 146 119 19 14 32
"919" "KANSAS" 20 "MARION" 115 562641 588427 599022 1039 996 974 154 179 166 57 30 44
"920" "KANSAS" 20 "MARSHALL" 117 472591 581100 514818 910 954 913 154 203 168 56 17 19
"921" "KANSAS" 20 "MCPHERSON" 113 575234 574875 566309 1326 1161 1142 140 155 168 56 31 36
"922" "KANSAS" 20 "MEADE" 119 552432 610749 602281 427 454 448 167 164 157 10 8 16
"923" "KANSAS" 20 "MIAMI" 121 274617 320186 307083 1358 1424 1538 48 61 54 53 37 77
"924" "KANSAS" 20 "MITCHELL" 123 484953 448990 444249 537 473 396 173 154 122 30 10 12
"925" "KANSAS" 20 "MONTGOMERY" 125 321115 346084 313947 1028 983 994 63 75 68 40 19 26
"926" "KANSAS" 20 "MORRIS" 127 374647 385672 413558 481 466 479 107 115 100 25 19 8
"927" "KANSAS" 20 "MORTON" 129 440566 352563 441926 246 309 353 96 89 112 3 5 2
"928" "KANSAS" 20 "NEMAHA" 131 393331 416500 450508 1001 1020 1054 75 99 105 43 20 27
"929" "KANSAS" 20 "NEOSHO" 133 326283 341086 321520 753 769 775 73 90 82 27 10 27
"930" "KANSAS" 20 "NESS" 135 641736 655469 619948 530 547 521 209 202 184 4 3 4
"931" "KANSAS" 20 "NORTON" 137 458497 517477 531248 410 482 388 148 151 134 18 10 13
"932" "KANSAS" 20 "OSAGE" 139 348848 367260 380156 929 925 1092 82 85 99 33 28 50
"933" "KANSAS" 20 "OSBORNE" 141 492182 498826 420136 474 449 378 168 184 137 13 5 6
"934" "KANSAS" 20 "OTTAWA" 143 424589 415900 437265 559 512 546 129 119 120 18 6 10
"935" "KANSAS" 20 "PAWNEE" 145 483862 520360 487373 450 430 438 142 143 128 15 14 16
"936" "KANSAS" 20 "PHILLIPS" 147 514859 587383 494990 500 531 507 170 173 133 8 17 18
"937" "KANSAS" 20 "POTTAWATOMIE" 149 414733 465494 428601 800 842 843 117 128 116 32 18 28
"938" "KANSAS" 20 "PRATT" 151 505212 501168 480162 509 591 538 170 148 120 7 4 7
"939" "KANSAS" 20 "RAWLINS" 153 624237 650701 590628 432 405 339 212 203 173 12 12 5
"940" "KANSAS" 20 "RENO" 155 731278 735132 780893 1557 1570 1749 228 225 215 78 51 58
"941" "KANSAS" 20 "REPUBLIC" 157 408211 423591 406745 694 642 682 136 150 133 23 9 28
"942" "KANSAS" 20 "RICE" 159 466098 416224 428422 555 500 580 146 143 141 25 17 10
"943" "KANSAS" 20 "RILEY" 161 226572 222269 231960 481 493 532 58 60 66 29 14 26
"944" "KANSAS" 20 "ROOKS" 163 554392 560342 561251 445 485 419 152 161 148 14 6 5
"945" "KANSAS" 20 "RUSH" 165 422013 417900 405912 523 504 481 145 137 123 4 6 5
"946" "KANSAS" 20 "RUSSELL" 167 419025 483735 443550 518 617 522 128 146 124 9 6 6
"947" "KANSAS" 20 "SALINE" 169 486256 436944 431209 846 758 749 145 126 129 26 24 26
"948" "KANSAS" 20 "SCOTT" 171 483177 495358 453296 354 327 277 152 130 100 11 8 16
"949" "KANSAS" 20 "SEDGWICK" 173 646082 533871 510308 1638 1355 1419 155 134 136 126 81 89
"950" "KANSAS" 20 "SEWARD" 175 327473 362682 395981 266 350 342 111 108 98 5 8 6
"951" "KANSAS" 20 "SHAWNEE" 177 219019 216812 206243 883 903 885 48 48 47 37 49 50
"952" "KANSAS" 20 "SHERIDAN" 179 499518 511421 522052 445 404 380 183 187 171 11 1 2
"953" "KANSAS" 20 "SHERMAN" 181 653055 606676 657942 485 443 436 193 189 162 11 3 7
"954" "KANSAS" 20 "SMITH" 183 479951 517889 457429 572 546 489 173 197 145 24 4 8
"955" "KANSAS" 20 "STAFFORD" 185 445622 472714 502229 502 534 558 162 156 159 10 8 10
"956" "KANSAS" 20 "STANTON" 187 404148 438022 414184 266 313 328 134 128 126 4 1 5
"957" "KANSAS" 20 "STEVENS" 189 502587 490607 503439 311 401 425 140 138 118 10 11 5
"958" "KANSAS" 20 "SUMNER" 191 955272 732406 709865 1356 1072 1099 361 265 236 49 35 39
"959" "KANSAS" 20 "THOMAS" 193 695335 690010 657471 582 476 464 242 196 191 14 10 15
"960" "KANSAS" 20 "TREGO" 195 434144 454657 429588 401 423 380 151 138 127 12 5 4
"961" "KANSAS" 20 "WABAUNSEE" 197 458056 464216 470474 610 631 660 119 113 108 26 21 15
"962" "KANSAS" 20 "WALLACE" 199 482486 415132 429533 292 290 303 122 128 115 4 5 2
"963" "KANSAS" 20 "WASHINGTON" 201 509631 496849 548034 786 796 817 166 165 179 45 29 39
"964" "KANSAS" 20 "WICHITA" 203 450632 470799 519858 316 326 323 160 151 149 9 6 5
"965" "KANSAS" 20 "WILSON" 205 300040 337337 333202 566 556 553 91 105 102 16 7 21
"966" "KANSAS" 20 "WOODSON" 207 245076 255174 261607 374 308 339 69 74 72 23 7 6
"967" "KANSAS" 20 "WYANDOTTE" 209 22326 13804 18107 216 161 191 4 3 3 33 30 37
"968" "KENTUCKY" 21 "ADAIR" 1 165725 170407 187981 1486 1395 1424 5 4 8 150 67 74
"969" "KENTUCKY" 21 "ALLEN" 3 163984 167902 166663 1212 1191 1208 14 13 18 86 37 55
"970" "KENTUCKY" 21 "ANDERSON" 5 89736 83857 87617 776 748 678 5 5 6 62 27 29
"971" "KENTUCKY" 21 "BALLARD" 7 125528 113017 110199 541 486 481 24 28 28 40 25 22
"972" "KENTUCKY" 21 "BARREN" 9 252739 240440 264717 2184 2021 2170 13 16 17 232 105 143
"973" "KENTUCKY" 21 "BATH" 11 128337 107574 129057 848 692 789 12 11 11 78 25 29
"974" "KENTUCKY" 21 "BELL" 13 4862 6900 10194 67 63 69 NA NA 1 4 4 3
"975" "KENTUCKY" 21 "BOONE" 15 83258 74915 74750 783 743 682 5 6 8 92 65 54
"976" "KENTUCKY" 21 "BOURBON" 17 194788 184580 184323 967 913 918 29 30 32 114 104 52
"977" "KENTUCKY" 21 "BOYD" 19 29318 33512 28738 251 274 260 2 2 2 19 9 20
"978" "KENTUCKY" 21 "BOYLE" 21 98822 98617 94233 750 715 649 10 10 9 83 53 42
"979" "KENTUCKY" 21 "BRACKEN" 23 94588 94393 100660 701 639 618 4 4 5 49 54 20
"980" "KENTUCKY" 21 "BREATHITT" 25 48362 51179 43540 211 209 199 4 5 9 33 16 9
"981" "KENTUCKY" 21 "BRECKINRIDGE" 27 281261 276456 274473 1501 1443 1509 30 31 28 132 70 47
"982" "KENTUCKY" 21 "BULLITT" 29 61667 61342 51148 654 616 519 4 4 3 60 51 45
"983" "KENTUCKY" 21 "BUTLER" 31 165306 161712 173965 812 729 778 22 23 28 24 17 25
"984" "KENTUCKY" 21 "CALDWELL" 33 157980 147207 142770 700 673 625 21 32 25 23 13 13
"985" "KENTUCKY" 21 "CALLOWAY" 35 157616 169407 157761 864 819 888 34 43 34 79 52 39
"986" "KENTUCKY" 21 "CAMPBELL" 37 50294 50383 47335 584 581 535 NA 1 NA 37 33 25
"987" "KENTUCKY" 21 "CARLISLE" 39 98060 107446 95713 374 380 408 21 22 21 23 8 17
"988" "KENTUCKY" 21 "CARROLL" 41 61166 61122 63708 348 339 326 7 7 6 34 19 13
"989" "KENTUCKY" 21 "CARTER" 43 116162 120382 125503 976 925 895 3 4 7 107 68 33
"990" "KENTUCKY" 21 "CASEY" 45 196004 190585 191609 1444 1353 1286 12 10 20 121 81 56
"991" "KENTUCKY" 21 "CHRISTIAN" 47 321585 342180 346450 1291 1267 1324 64 75 68 99 64 58
"992" "KENTUCKY" 21 "CLARK" 49 150313 143171 149201 938 861 907 24 23 28 91 50 72
"993" "KENTUCKY" 21 "CLAY" 51 59008 55240 51194 431 386 336 2 NA 4 57 36 24
"994" "KENTUCKY" 21 "CLINTON" 53 79701 71673 91097 699 629 629 4 NA 11 83 54 35
"995" "KENTUCKY" 21 "CRITTENDEN" 55 154735 156656 160116 698 698 740 19 20 24 17 12 20
